State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
JAMMU & KASHMIR,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,1,2,1,0,4
JHARKHAND,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,2,0,0,0,2
KARNATAKA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,12,3,1,1,17
KERALA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),9,47,38,13,0,107
MADHYA PRADESH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,21,4,0,0,25
MAHARASHTRA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),2,66,44,16,2,130
MANIPUR,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
MEGHALAYA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
MIZORAM,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
NAGALAND,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
ORISSA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,1,1,0,0,2
PUNJAB,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),2,15,8,2,1,28
RAJASTHAN,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,50,22,8,0,80
SIKKIM,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
