"STATE/UT","CRIME HEAD","YEAR","Below 18 Years","Between 18-30 Years","Between 30-45 Years","Between 45-60 Years","Above 60 Years","Total"
"TOTAL (ALL-INDIA)","HACKING (SECTION 66(2) IT ACT)",2008,0,8,7,0,0,15
"ANDHRA PRADESH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,1,0,0,0,1
"GOA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,1,0,1,0,2
"GUJARAT","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,1,12,1,0,0,14
"HARYANA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,1,2,0,0,3
"JAMMU & KASHMIR","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"KERALA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,16,10,1,0,27
"MADHYA PRADESH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,5,2,0,0,7
"MAHARASHTRA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,3,10,4,1,0,18
"MANIPUR","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"ORISSA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,2,0,0,0,2
"PUNJAB","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,6,1,0,0,7
"RAJASTHAN","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,1,0,0,0,1
"TRIPURA","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,4,55,20,3,0,82
"A & N ISLANDS","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,2,1,0,1,4
"D & N HAVELI","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"DELHI","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,3,0,0,0,3
"LAKSHADWEEP","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,1,0,0,0,1
"TOTAL (UTs)","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,0,6,1,0,1,8
"TOTAL (ALL-INDIA)","OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT)",2008,4,61,21,3,1,90
"ANDHRA PRADESH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"ASSAM","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"BIHAR","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"GOA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"HARYANA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"HIMACHAL PRADESH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"JAMMU & KASHMIR","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"JHARKHAND","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"KARNATAKA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"KERALA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"MADHYA PRADESH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"MAHARASHTRA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,1,0,1,0,2
"MANIPUR","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"MEGHALAYA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"MIZORAM","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"NAGALAND","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"ORISSA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"PUNJAB","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"RAJASTHAN","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"SIKKIM","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"TAMIL NADU","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"TRIPURA","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"UTTAR PRADESH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"UTTARAKHAND","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"WEST BENGAL","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"TOTAL (STATES)","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,1,0,1,0,2
"A & N ISLANDS","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"CHANDIGARH","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"D & N HAVELI","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"DAMAN & DIU","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"DELHI","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"LAKSHADWEEP","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"PUDUCHERRY","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"TOTAL (UTs)","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT)",2008,0,1,0,1,0,2
"ANDHRA PRADESH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"ARUNACHAL PRADESH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"ASSAM","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"BIHAR","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"CHHATTISGARH","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"GOA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"GUJARAT","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
"HARYANA","FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT)",2008,0,0,0,0,0,0
